Unnamed: 0,Feature Id,Importances_1,Place_1,Importances_2,Place_2,Importances_3,Place_3,Importances_4,Place_4,Importances_5,Place_5
51,is_application_screenshot,0.05130365625413508,52,0.1404662157229345,45,0.07171803562543931,55,0.02969385409484192,58,0.07772174707937204,53
52,is_guidance_show_next_maneuver,0.03927491780349523,53,0.01915176793609926,57,0.0,66,0.0506987310683262,52,0.08791190233142729,51
53,is_map_rotation,0.0333781419352687,54,0.03478799952588183,54,0.07801439760079788,53,0.03958183174615502,56,0.04337762140235696,56
54,is_rate_place,0.0284382582512455,55,0.0,60,0.01961842569511857,59,0.0,63,0.04023580566318622,57
55,is_quick_action_route_home,0.02729621215787687,56,0.06480898879256329,52,0.1530245664840089,48,0.03346255864183361,57,0.1158452670795926,46
56,is_add_review_attempt,0.02728938192641491,57,0.0780623293165844,51,0.0,63,0.05973922059239618,50,0.0,61
57,is_open_quick_search,0.02555376090033759,58,0.0,61,0.05955124437987315,56,0.02660803883167185,59,0.1277092340261647,44
58,is_trucks_settings_update,0.01630447697382405,59,0.0,67,0.01673241963033168,61,0.0,68,0.0,66
59,is_open_rating,0.00996312899503156,60,0.01813450238445937,58,0.0,64,0.0,65,0.0,62
60,is_quick_action_search_nearby,0.001230783602418274,61,0.01420807581543861,59,0.006112098377818742,62,0.01850741307984846,60,0.01328602094442464,59
61,is_add_review_submit,0.0,62,0.0,62,0.03011549892283258,58,0.0,64,0.01012043058380758,60
62,is_transport_stop_open_transport,0.0,63,0.0,63,0.0,65,0.0,66,0.0,63
63,is_show_more_reviews,0.0,64,0.0,65,0.01692898000823374,60,0.04902138229058651,53,0.0,64
64,is_metro_nearby,0.0,65,0.0,66,0.0,67,0.0,67,0.0,65
65,is_exit_navigation,0.0,66,0.0,68,0.0,68,0.0,69,0.0,67
66,is_add_bookmark_submit,0.0,67,0.0,69,0.0,69,0.007551200202144357,61,0.0,68
67,is_map_gas_stations_discount_button_select,0.0,68,0.0,70,0.0,70,0.0,70,0.0,69
68,is_route_via,0.0,69,0.0,71,0.0,71,0.0,71,0.0,70
69,is_params_card_click,0.0,70,0.0,72,0.0,72,0.0,72,0.0,71
70,is_become_beta_tester,0.0,71,0.0,73,0.0,73,0.0,73,0.0,72
71,is_active_session_card_show,0.0,72,0.0,74,0.0,74,0.0,74,0.0,73
72,is_place_metro_nearby_request_route,0.0,73,0.0,75,0.0,75,0.0,75,0.0,74
73,is_ping,0.0,74,0.0,76,0.0,76,0.0,76,0.0,75
74,is_bookmarks_list_show,0.0,75,0.1162664476496816,47,0.2206626456009668,42,0.3493887604147809,36,0.2570615537726733,38
75,is_bookmarks_list_click,0.0,76,0.02146568208428145,56,0.07345189791149796,54,0.04141232772909034,55,0.0,76
